date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:17:34:04]	gcp25n1129rgs5fu0qgvmoihov	25-34	Female	4	3	3	4	3	4	4	4	2	1	TRUE	TRUE
[28/Apr/2020:17:38:16]	et0d1cb0u4hom0l6m2n3dfvm91	>55	Female	1	7	3	4	1	3	4	4	4	1	FALSE	TRUE
[28/Apr/2020:17:38:31]	e378dncrovutoelqpqegqa8ftg	18-24	Female	5	0	2	5	3	1	3	5	5	1	TRUE	TRUE
[28/Apr/2020:17:40:08]	r12lrj2os17m0hua71csocgh3g	35-44	Male	1	7	3	4	4	4	4	4	4	4	FALSE	TRUE
[28/Apr/2020:17:57:11]	m41prt7e27fjceu7u4791sjn1p	35-44	Male	1	7	1	4	1	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:17:51:31]	lesjqaa7079ng9ikgrcte24r95	35-44	Female	2	2	1	5	1	1	2	4	1	1	FALSE	TRUE
[28/Apr/2020:17:41:38]	rd974549jhi15cf4p2gq4iis80	35-44	Female	1	7	5	5	5	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:17:46:37]	7n09p5kvd6v413eeog1psl1phc	>55	Female	1	7	2	5	5	1	5	5	5	1	TRUE	TRUE
[28/Apr/2020:17:47:14]	b78hsb5bsn63bmttbheaiecgqf	45-54	Male	1	7	5	5	5	2	2	5	4	1	TRUE	TRUE
[28/Apr/2020:17:42:56]	pkbmjp4h9dufs795nruvfv3lja	25-34	Male	5	0	1	5	2	1	1	2	1	1	FALSE	TRUE
[28/Apr/2020:17:48:21]	qit6mtu2188pousbcanvmd201e	25-34	Male	2	1	4	3	4	4	2	2	3	4	FALSE	TRUE
[28/Apr/2020:17:51:45]	13dmjircoaa11isp8a7ghpk2mb	25-34	Female	5	0	1	5	1	1	1	5	3	1	TRUE	TRUE
[28/Apr/2020:19:11:50]	n48phff8qta37mldqmcm4iifcb	35-44	Male	1	7	3	5	2	5	3	5	1	5	FALSE	TRUE
[28/Apr/2020:12:13:55]	aopk56r4hv24bhnv8hsv4ntlvs	25-34	Male	1	6	4	4	3	3	4	4	3	4	FALSE	TRUE
[28/Apr/2020:12:21:20]	fh6r7l8b6ni0bapeujmv56lknb	>55	Female	1	7	2	5	4	3	5	5	3	1	TRUE	TRUE
[28/Apr/2020:12:34:46]	bem3o4ajqr9jsohm8nvkdpkbak	45-54	Male	1	7	4	5	4	4	5	3	5	1	FALSE	TRUE
[28/Apr/2020:12:30:54]	4it29q5q04cstkml0jp1f3tmnj	25-34	Male	1	5	1	2	1	1	1	5	1	1	TRUE	TRUE
[28/Apr/2020:12:27:06]	s6qmg1l33acbdm0k9qvbmd9dkn	>55	Male	5	0	5	5	3	1	1	4	4	1	FALSE	TRUE
